Time, BOX1, BOX2, BOX3
start
2022/04/07-11:57:28.440946,401.0,401.0,401.0
2022/04/07-11:57:28.574731,401.0,401.0,401.0
2022/04/07-11:57:28.704825,401.0,401.0,401.0
2022/04/07-11:57:28.832691,401.0,401.0,401.0
2022/04/07-11:57:28.964203,401.0,401.0,401.0
2022/04/07-11:57:29.087678,401.0,401.0,401.0
2022/04/07-11:57:29.209177,401.0,401.0,401.0
2022/04/07-11:57:29.334814,401.0,401.0,401.0
2022/04/07-11:57:29.457568,401.0,401.0,401.0
2022/04/07-11:57:29.593429,401.0,401.0,401.0
2022/04/07-11:57:29.715984,401.0,401.0,401.0
2022/04/07-11:57:29.831698,401.0,401.0,401.0
2022/04/07-11:57:29.960795,401.0,401.0,401.0
2022/04/07-11:57:30.098100,401.0,401.0,401.0
2022/04/07-11:57:30.222015,401.0,401.0,401.0
2022/04/07-11:57:30.348591,401.0,401.0,401.0
2022/04/07-11:57:30.471908,401.0,401.0,401.0
2022/04/07-11:57:30.601708,401.0,401.0,401.0
2022/04/07-11:57:30.736234,401.0,401.0,401.0
2022/04/07-11:57:30.865752,401.0,401.0,401.0
2022/04/07-11:57:30.988048,401.0,401.0,401.0
2022/04/07-11:57:31.111685,401.0,401.0,401.0
2022/04/07-11:57:31.255457,401.0,401.0,401.0
2022/04/07-11:57:31.368004,401.0,401.0,401.0
2022/04/07-11:57:31.494460,401.0,401.0,401.0
2022/04/07-11:57:31.616624,401.0,401.0,401.0
2022/04/07-11:57:31.741159,401.0,401.0,401.0
2022/04/07-11:57:31.880742,401.0,401.0,401.0
2022/04/07-11:57:32.019866,401.0,401.0,401.0
2022/04/07-11:57:32.158627,401.0,401.0,401.0
2022/04/07-11:57:32.296804,401.0,401.0,401.0
2022/04/07-11:57:32.431992,401.0,401.0,401.0
2022/04/07-11:57:32.568148,401.0,401.0,401.0
2022/04/07-11:57:32.708826,401.0,401.0,401.0
2022/04/07-11:57:32.844729,401.0,401.0,401.0
2022/04/07-11:57:32.986466,401.0,401.0,401.0
2022/04/07-11:57:33.120922,401.0,401.0,401.0
2022/04/07-11:57:33.257682,401.0,401.0,401.0
2022/04/07-11:57:33.414119,401.0,401.0,401.0
2022/04/07-11:57:33.558106,401.0,401.0,401.0
2022/04/07-11:57:33.692946,401.0,401.0,401.0
2022/04/07-11:57:33.835830,401.0,401.0,401.0
2022/04/07-11:57:34.013677,401.0,401.0,401.0
2022/04/07-11:57:34.156603,401.0,401.0,401.0
2022/04/07-11:57:34.280773,401.0,401.0,401.0
2022/04/07-11:57:34.424219,401.0,401.0,401.0
2022/04/07-11:57:34.569158,401.0,401.0,401.0
2022/04/07-11:57:34.704908,401.0,401.0,401.0
2022/04/07-11:57:34.874232,401.0,401.0,401.0
2022/04/07-11:57:35.034448,401.0,401.0,401.0
2022/04/07-11:57:35.176878,401.0,401.0,401.0
2022/04/07-11:57:35.317117,401.0,401.0,401.0
2022/04/07-11:57:35.461345,401.0,401.0,401.0
2022/04/07-11:57:35.602706,401.0,401.0,401.0
2022/04/07-11:57:35.736200,401.0,401.0,401.0
2022/04/07-11:57:35.873113,401.0,401.0,401.0
2022/04/07-11:57:36.021544,401.0,401.0,401.0
2022/04/07-11:57:36.158882,401.0,401.0,401.0
2022/04/07-11:57:36.300765,401.0,401.0,401.0
2022/04/07-11:57:36.432348,401.0,401.0,401.0
2022/04/07-11:57:36.581513,401.0,401.0,401.0
2022/04/07-11:57:36.724765,401.0,401.0,401.0
2022/04/07-11:57:36.859147,401.0,401.0,401.0
2022/04/07-11:57:36.988492,401.0,401.0,401.0
2022/04/07-11:57:37.150341,401.0,401.0,401.0
2022/04/07-11:57:37.256962,401.0,401.0,401.0
2022/04/07-11:57:37.368118,401.0,401.0,401.0
2022/04/07-11:57:37.505298,401.0,401.0,401.0
2022/04/07-11:57:37.641467,401.0,401.0,401.0
2022/04/07-11:57:37.747627,401.0,401.0,401.0
2022/04/07-11:57:37.902939,401.0,401.0,401.0
2022/04/07-11:57:38.028905,401.0,401.0,401.0
2022/04/07-11:57:38.163409,401.0,401.0,401.0
2022/04/07-11:57:38.306089,401.0,401.0,401.0
2022/04/07-11:57:38.444943,401.0,401.0,401.0
2022/04/07-11:57:38.578486,401.0,401.0,401.0
2022/04/07-11:57:38.715959,401.0,401.0,401.0
2022/04/07-11:57:38.850132,401.0,401.0,401.0
2022/04/07-11:57:38.983098,401.0,401.0,401.0
2022/04/07-11:57:39.122235,401.0,401.0,401.0
2022/04/07-11:57:39.255135,401.0,401.0,401.0
2022/04/07-11:57:39.387606,401.0,401.0,401.0
2022/04/07-11:57:39.515477,401.0,401.0,401.0
2022/04/07-11:57:39.652676,401.0,401.0,401.0
2022/04/07-11:57:39.792924,401.0,401.0,401.0
2022/04/07-11:57:39.931462,401.0,401.0,401.0
2022/04/07-11:57:40.056720,401.0,401.0,401.0
2022/04/07-11:57:40.195655,401.0,401.0,401.0
2022/04/07-11:57:40.327531,401.0,401.0,401.0
2022/04/07-11:57:40.462260,401.0,401.0,401.0
2022/04/07-11:57:40.594672,401.0,401.0,401.0
2022/04/07-11:57:40.739834,401.0,401.0,401.0
2022/04/07-11:57:40.882297,401.0,401.0,401.0
2022/04/07-11:57:41.027992,401.0,401.0,401.0
2022/04/07-11:57:41.156373,401.0,401.0,401.0
2022/04/07-11:57:41.287996,401.0,401.0,401.0
2022/04/07-11:57:41.427298,401.0,401.0,401.0
2022/04/07-11:57:41.567120,401.0,401.0,401.0
2022/04/07-11:57:41.707234,401.0,401.0,401.0
2022/04/07-11:57:41.841153,401.0,401.0,401.0
2022/04/07-11:57:41.977868,401.0,401.0,401.0
2022/04/07-11:57:42.111406,401.0,401.0,401.0
2022/04/07-11:57:42.244468,401.0,401.0,401.0
2022/04/07-11:57:42.375523,401.0,401.0,401.0
2022/04/07-11:57:42.502079,401.0,401.0,401.0
2022/04/07-11:57:42.637879,401.0,401.0,401.0
2022/04/07-11:57:42.774166,401.0,401.0,401.0
2022/04/07-11:57:42.910537,401.0,401.0,401.0
2022/04/07-11:57:43.045675,401.0,401.0,401.0
2022/04/07-11:57:43.184068,401.0,401.0,401.0
2022/04/07-11:57:43.284567,401.0,401.0,401.0
2022/04/07-11:57:43.435460,401.0,401.0,401.0
2022/04/07-11:57:43.540898,401.0,401.0,401.0
2022/04/07-11:57:43.680366,401.0,401.0,401.0
2022/04/07-11:57:43.823373,401.0,401.0,401.0
2022/04/07-11:57:43.957602,401.0,401.0,401.0
2022/04/07-11:57:44.096217,401.0,401.0,401.0
2022/04/07-11:57:44.221098,401.0,401.0,401.0
2022/04/07-11:57:44.354522,401.0,401.0,401.0
2022/04/07-11:57:44.464236,401.0,401.0,401.0
2022/04/07-11:57:44.610081,401.0,401.0,401.0
2022/04/07-11:57:44.752521,401.0,401.0,401.0
2022/04/07-11:57:44.890316,401.0,401.0,401.0
2022/04/07-11:57:45.038748,401.0,401.0,401.0
2022/04/07-11:57:45.177915,401.0,401.0,401.0
2022/04/07-11:57:45.321387,401.0,401.0,401.0
2022/04/07-11:57:45.454506,401.0,401.0,401.0
2022/04/07-11:57:45.588339,401.0,401.0,401.0
2022/04/07-11:57:45.732463,401.0,401.0,401.0
2022/04/07-11:57:45.872223,401.0,401.0,401.0
2022/04/07-11:57:46.010594,401.0,401.0,401.0
2022/04/07-11:57:46.151715,401.0,401.0,401.0
2022/04/07-11:57:46.303112,401.0,401.0,401.0
2022/04/07-11:57:46.447648,401.0,401.0,401.0
2022/04/07-11:57:46.585462,401.0,401.0,401.0
2022/04/07-11:57:46.723600,401.0,401.0,401.0
2022/04/07-11:57:46.866060,401.0,401.0,401.0
2022/04/07-11:57:46.999013,401.0,401.0,401.0
2022/04/07-11:57:47.137854,401.0,401.0,401.0
2022/04/07-11:57:47.274327,401.0,401.0,401.0
2022/04/07-11:57:47.430845,401.0,401.0,401.0
