Time, BOX1, BOX2, BOX3
start
2022/05/03-09:12:19.336055,290.6,252.7,290.8
2022/05/03-09:12:19.443532,290.6,257.4,290.8
2022/05/03-09:12:19.567446,292.2,255.8,290.8
2022/05/03-09:12:19.677438,290.6,260.5,290.8
2022/05/03-09:12:19.797326,293.8,262.1,289.2
2022/05/03-09:12:19.917390,292.2,260.5,290.8
2022/05/03-09:12:20.059092,292.2,258.9,290.8
2022/05/03-09:12:20.168701,290.6,258.9,290.8
2022/05/03-09:12:20.281541,290.6,262.1,289.2
2022/05/03-09:12:20.394768,290.6,258.9,290.8
2022/05/03-09:12:20.540645,290.6,258.9,290.8
2022/05/03-09:12:20.645855,292.2,257.4,290.8
2022/05/03-09:12:20.759270,290.6,258.9,337.8
2022/05/03-09:12:20.868306,292.2,258.9,328.4
2022/05/03-09:12:20.972485,292.2,257.4,339.3
2022/05/03-09:12:21.083017,292.2,257.4,336.2
2022/05/03-09:12:21.237797,290.6,252.7,329.9
2022/05/03-09:12:21.363196,290.6,251.1,339.3
2022/05/03-09:12:21.466958,293.8,246.4,314.3
2022/05/03-09:12:21.579041,292.2,244.8,290.8
2022/05/03-09:12:21.708974,293.8,244.8,289.2
2022/05/03-09:12:21.819710,293.8,241.7,289.2
2022/05/03-09:12:21.932410,290.6,244.8,290.8
2022/05/03-09:12:22.042861,292.2,244.8,289.2
2022/05/03-09:12:22.144433,292.2,241.7,290.8
2022/05/03-09:12:22.248155,292.2,244.8,289.2
2022/05/03-09:12:22.351363,292.2,246.4,290.8
2022/05/03-09:12:22.480068,293.8,244.8,290.8
2022/05/03-09:12:22.611483,292.2,246.4,290.8
2022/05/03-09:12:22.711795,290.6,244.8,290.8
2022/05/03-09:12:22.837054,293.8,246.4,289.2
2022/05/03-09:12:22.967846,292.2,244.8,290.8
2022/05/03-09:12:23.074235,292.2,244.8,290.8
2022/05/03-09:12:23.205432,292.2,246.4,292.4
2022/05/03-09:12:23.338714,293.8,241.7,290.8
2022/05/03-09:12:23.441324,290.6,246.4,290.8
2022/05/03-09:12:23.551758,292.2,244.8,290.8
2022/05/03-09:12:23.654627,292.2,246.4,290.8
stop
stop
